Franchise,Lg,From,To,Yrs,G,W,L,W/L%,Plyfs,Div,Conf,Champ
Atlanta Hawks,NBA,1949-50,2020-21,72,5666,2789,2877,.492,46,11,0,1
Boston Celtics,NBA/BAA,1946-47,2020-21,75,5844,3449,2395,.590,57,31,9,17
Brooklyn Nets,NBA/ABA,1967-68,2020-21,54,4342,1892,2450,.436,28,5,2,2
Charlotte Hornets,NBA,1988-89,2020-21,31,2441,1074,1367,.440,10,0,0,0
Chicago Bulls,NBA,1966-67,2020-21,55,4408,2246,2162,.510,35,9,6,6
Cleveland Cavaliers,NBA,1970-71,2020-21,51,4082,1884,2198,.462,22,7,5,1
Dallas Mavericks,NBA,1980-81,2020-21,41,3271,1640,1631,.501,22,3,2,1
Denver Nuggets,NBA/ABA,1967-68,2020-21,54,4342,2191,2151,.505,35,12,0,0
Detroit Pistons,NBA/BAA,1948-49,2020-21,73,5727,2766,2961,.483,42,11,5,3
Golden State Warriors,NBA/BAA,1946-47,2020-21,75,5832,2810,3022,.482,35,12,6,6
Houston Rockets,NBA,1967-68,2020-21,54,4335,2282,2053,.526,34,8,4,2
Indiana Pacers,NBA/ABA,1967-68,2020-21,54,4340,2237,2103,.515,36,9,1,3
Los Angeles Clippers,NBA,1970-71,2020-21,51,4091,1691,2400,.413,15,2,0,0
Los Angeles Lakers,NBA/BAA,1948-49,2020-21,73,5734,3415,2319,.596,61,33,19,17
Memphis Grizzlies,NBA,1995-96,2020-21,26,2038,848,1190,.416,10,0,0,0
Miami Heat,NBA,1988-89,2020-21,33,2615,1362,1253,.521,21,14,6,3
Milwaukee Bucks,NBA,1968-69,2020-21,53,4254,2215,2039,.521,32,15,2,1
Minnesota Timberwolves,NBA,1989-90,2020-21,32,2524,992,1532,.393,9,1,0,0
New Orleans Pelicans,NBA,2002-03,2020-21,19,1496,694,802,.464,7,1,0,0
New York Knicks,NBA/BAA,1946-47,2020-21,75,5835,2823,3012,.484,42,8,4,2
Oklahoma City Thunder,NBA,1967-68,2020-21,54,4335,2347,1988,.541,32,11,4,1
Orlando Magic,NBA,1989-90,2020-21,32,2532,1207,1325,.477,16,6,2,0
Philadelphia 76ers,NBA,1949-50,2020-21,72,5670,2932,2738,.517,50,11,5,3
Phoenix Suns,NBA,1968-69,2020-21,53,4254,2253,2001,.530,29,6,2,0
Portland Trail Blazers,NBA,1970-71,2020-21,51,4091,2198,1893,.537,36,6,3,1
Sacramento Kings,NBA/BAA,1948-49,2020-21,73,5735,2615,3120,.456,29,5,0,1
San Antonio Spurs,NBA/ABA,1967-68,2020-21,54,4338,2596,1742,.598,47,22,6,5
Toronto Raptors,NBA,1995-96,2020-21,26,2040,973,1067,.477,12,7,1,1
Utah Jazz,NBA,1974-75,2020-21,47,3761,2044,1717,.543,29,9,2,0
Washington Wizards,NBA,1961-62,2020-21,60,4815,2170,2645,.451,29,8,4,1